field,type
COUNTYGEOID,str
N495,float
000101144,float
000107051,float
001120714,float
000059892,float
000071432,float
000075218,float
000510156,float
000098953,float
000107131,float
000087683,float
000062533,float
000075252,float
000091203,float
000100414,float
001634044,float
000117817,float
000095534,float
N020,float
N050,float
000050000,float
000057749,float
000060355,float
000075092,float
000076448,float
000079005,float
000088062,float
008001352,float
000075070,float
000079016,float
000056235,float
000060117,float
000075014,float
000106898,float
000122667,float
000062759,float
000101779,float
000121142,float
000096128,float
000079061,float
N078,float
000075569,float
000542881,float
000092875,float
000584849,float
001336363,float
000053963,float
000106467,float
000126998,float
007440473,float
000075343,float
000091941,float
000095807,float
000096457,float
000106934,float
000107062,float
000111444,float
000123911,float
000127184,float
000302012,float
000319846,float
000542756,float
000593602,float
000079469,float
000087865,float
000100447,float
000106990,float
000118741,float
