component,eigenvalue
1,352.4977324826921
2,281.18146041237856
3,183.19561827300663
4,179.6411352077853
5,153.02573932962005
6,122.7529619400909
7,85.75611885763206
8,79.36698135539272
9,72.41194340882271
10,69.32481384597264
11,63.75447184405897
12,58.36887974849763
13,52.628544044339975
14,36.66147219395129
15,25.382500473999
16,18.460576518153715
17,17.9280416607707
18,13.421792885978098
19,12.403122381012132
20,11.954609608120704
21,11.790558454048496
22,10.68059461312066
23,10.404409463358439
24,9.49883119673436
25,7.2607337004680215
26,6.55576746388502
27,6.116097465329055
28,6.060871915106188
29,5.244685851513584
30,4.996571823359303
31,3.5865290260900635
32,3.0707343623148007
33,2.7291414880216567
34,2.6446539898338575
35,1.9964495878383397
36,1.4696502373924243
37,1.2332172349288104
38,1.1453287224051376
39,1.1146717282101906
40,1.097249702309038
41,1.053487584960081
42,0.9785432648845571
43,0.8693373033118653
44,0.5769632966669159
45,0.4207386998003398
46,0.31855200028300173
47,0.2410199359045681
48,0.09828720403280995
49,0.04669350809849201
50,0.034978258550313834
51,0.0020312422214027025
52,0.0013203550332751225
53,0.0004172563646979769
54,0.0003565457699557446
55,0.00023400898063776114
56,4.488094191898734e-05
57,2.132475649067711e-05
58,1.4487598960127168e-05
59,7.564112248269055e-06
60,3.7460362993463974e-06
61,3.565291023608813e-08
62,2.3238287905270046e-09
63,2.0049320658985882e-09
64,1.4105148009677083e-09
