COUNTYGEOID,C01,C02,C03,C04
02013,-718023.6469307794,-48368.633287094206,38783.3029887519,-69719.6165980633
02016,-718023.6469307053,-48368.633287206874,38783.30298882087,-69719.61659816868
02020,1004248.7991053695,-47343.726852697684,34402.73271806255,-65899.83850555535
02050,-718023.6614062175,-48329.950269518245,38595.65781715445,-69557.79649065621
02060,-718023.6469307556,-48368.633285873984,38783.302985066555,-69719.6165889415
02068,-718023.6469308499,-48368.63313813948,38783.30254897901,-69719.61549916757
02070,-718023.6469306833,-48368.633287208955,38783.30298882547,-69719.61659817582
02090,30658200.035822615,-38539.91426856414,1075.6703376921007,-35911.31017590473
02100,-718023.6469306443,-48368.63328720371,38783.30298878809,-69719.61659809813
02105,-718023.6469307014,-48368.63328730152,38783.302988751384,-69719.61659807763
02110,-718023.6651596786,-48319.919673699194,38547.000988873835,-69515.83616473997
02122,-718033.3209804511,-22532.329241423988,-86759.32385172162,38597.792471554785
02130,-718023.6686438023,-48310.60893834592,38501.83575692016,-69476.88775049568
02150,-718023.6469307359,-48368.63328720782,38783.30298881156,-69719.61659813623
02158,-718023.6469307069,-48368.63328709241,38783.302988800286,-69719.61659808319
02164,-718023.6469307197,-48368.63328720139,38783.302988817675,-69719.61659814468
02170,-718023.6469306311,-48368.63328718322,38783.30298839005,-69719.61659756412
02180,-718023.6469306002,-48368.633287329765,38783.302988754964,-69719.61659819023
02185,-718023.6469307179,-48368.633287227836,38783.30298890337,-69719.61659806498
02188,-701247.8992857968,-50876.35144784378,-29259.029695599595,71029.92911532603
02195,-718023.6469307042,-48368.63328720713,38783.30298879956,-69719.61659812382
02198,-718023.6469307307,-48368.633287209275,38783.30298881896,-69719.61659814352
02220,-718023.6469305123,-48368.63328720796,38783.302988813324,-69719.6165981401
02230,-718023.6469311639,-48368.633287207784,38783.30298881066,-69719.61659813508
02240,-718023.64693072,-48368.63328720624,38783.302988796044,-69719.61659811145
02261,-718023.959360204,-47533.7215924947,34733.27381663988,-66226.99465834784
02275,-718023.6469307197,-48368.63328720769,38783.302988810225,-69719.61659813467
02282,-718023.6469307194,-48368.633287207755,38783.30298880388,-69719.61659811933
02290,-718023.6469307198,-48368.63328720769,38783.30298880815,-69719.61659812595
01001,-718146.5487294783,-1268.6709266864252,-139781.84340296534,256193.97921127704
01003,-717866.2475457719,-48368.42343546968,38782.67208661159,-69718.09164277001
01005,-718023.6472046137,-48368.480293991444,38782.45648791702,-69718.99370408438
01007,-718008.6843362643,-48367.94348560919,38769.95379222663,-69701.87921465046
01009,-718023.6469307197,-48368.63328720723,38783.30298880881,-69719.61659813614
