field,type
COUNTYGEOID,str
007782505,float
007803512,float
010049044,float
010061026,float
012122677,float
013356086,float
013474889,float
013684565,float
014302137,float
019044883,float
019666309,float
020354261,float
020859738,float
022781233,float
023564058,float
025321226,float
026471625,float
026644462,float
028249776,float
035367385,float
038727558,float
050471448,float
051338273,float
051630581,float
052645531,float
053404607,float
055290647,float
055406536,float
057213691,float
062476599,float
067485294,float
068085858,float
082657043,float
111512562,float
111984099,float
N420,float
000061825,float
000095476,float
N495,float
000062555,float
000067630,float
000080626,float
000095636,float
000101144,float
000107051,float
000108316,float
000109773,float
000114261,float
000122394,float
000354110,float
000542767,float
001134232,float
001332214,float
001929824,float
002234131,float
007429905,float
015972608,float
041766750,float
026628228,float
059669260,float
007632000,float
077501634,float
000128041,float
021725462,float
000057330,float
064902723,float
072490018,float
000088857,float
010453868,float
026002802,float
039515418,float
000051036,float
000085018,float
000122349,float
021087649,float
007287196,float
000094111,float
027314132,float
043121433,float
060168889,float
000834128,float
000128030,float
002702729,float
000300765,float
031218834,float
000051218,float
035691657,float
004080313,float
001649087,float
000431867,float
000071363,float
000072435,float
000078842,float
000088755,float
001114712,float
010034932,float
066441234,float
000074953,float
000075865,float
000085687,float
000105679,float
000123728,float
007440280,float
007723140,float
N982,float
000079221,float
000098862,float
001120714,float
007440508,float
N760,float
000059892,float
000071432,float
000075218,float
000076131,float
000090437,float
000106503,float
000108394,float
000115286,float
000123637,float
000354256,float
000680319,float
069409945,float
000510156,float
068359375,float
N874,float
000063252,float
000075718,float
000085449,float
000107211,float
000120365,float
002032657,float
069806504,float
000091087,float
000100016,float
000062748,float
000088891,float
000422480,float
001328536,float
007440622,float
000057147,float
090454185,float
000075150,float
000091225,float
000098953,float
000107131,float
000842079,float
000087683,float
007786347,float
000156627,float
000062533,float
000075252,float
000091203,float
000100414,float
000124732,float
000151564,float
000612828,float
001634044,float
007440224,float
039156417,float
000076153,float
N511,float
000067641,float
000075274,float
000103231,float
000117817,float
001464535,float
007757826,float
072178020,float
101200480,float
000095534,float
000051752,float
000099309,float
000109068,float
064969342,float
000612839,float
N010,float
N020,float
N050,float
N084,float
N096,float
N171,float
N450,float
N503,float
N575,float
N583,float
N725,float
000050000,float
000052686,float
000055389,float
000055630,float
000056359,float
000057410,float
000057749,float
000060093,float
000060355,float
000060515,float
000062737,float
000064755,float
000067663,float
000068768,float
000071556,float
000072571,float
000074884,float
000074908,float
000075003,float
000075092,float
000075354,float
000075456,float
000075683,float
000075729,float
000076017,float
000076062,float
000076142,float
000076448,float
000077781,float
000078875,float
000078922,float
000078933,float
000079005,float
000079118,float
000079447,float
000080159,float
000082280,float
000082688,float
000084662,float
000086306,float
000087627,float
000088062,float
000090040,float
000764410,float
002212671,float
002699798,float
007439921,float
008001352,float
016543558,float
025376458,float
127564925,float
000094597,float
035554440,float
002312358,float
000333415,float
N120,float
005234684,float
000079210,float
013463406,float
000924425,float
000077474,float
000099592,float
000759739,float
039300453,float
000108054,float
028057489,float
033089611,float
000110576,float
000191242,float
N090,float
N230,float
N746,float
000057578,float
000064675,float
000074851,float
000075070,float
000075638,float
000077736,float
000079196,float
000092524,float
000094804,float
000096333,float
000104949,float
000107186,float
000108952,float
000115071,float
000120832,float
000131113,float
000137268,float
000150685,float
000306832,float
000422446,float
000541731,float
000621647,float
000924163,float
001313275,float
001918167,float
002300665,float
002655154,float
005902512,float
007440439,float
007758012,float
012427382,float
017804352,float
025311711,float
041198087,float
053404378,float
071751412,float
MIXTURE,float
000079016,float
000119904,float
001861401,float
023564069,float
001982690,float
000149304,float
000124403,float
000354143,float
023950585,float
000115322,float
063938103,float
N040,float
000100027,float
020816120,float
000074839,float
007440382,float
000075887,float
000056235,float
020325400,float
000107302,float
000052857,float
000092933,float
009006422,float
007440666,float
000094360,float
006484522,float
000353593,float
N106,float
001330207,float
000060117,float
010028156,float
000058899,float
007696120,float
000075694,float
000540590,float
001918009,float
000056382,float
029232937,float
000055210,float
007439965,float
128903219,float
000608935,float
000569642,float
060207901,float
000108101,float
000075014,float
000106898,float
003844459,float
051235042,float
000126727,float
007647010,float
002439103,float
004680788,float
008001589,float
000084742,float
INVALID,float
000122667,float
000534521,float
030560191,float
076578148,float
000055185,float
N100,float
000081072,float
000062759,float
000075558,float
000101779,float
005598130,float
053404196,float
007664417,float
000052517,float
000079107,float
001344281,float
000100254,float
000081889,float
000110543,float
000330541,float
007664382,float
000099650,float
001563662,float
000533744,float
000108883,float
000098077,float
000100210,float
000121142,float
000111911,float
034077877,float
001320189,float
N590,float
000095692,float
000148798,float
002832408,float
N740,float
034014181,float
000301122,float
013463677,float
001689845,float
000120718,float
000121697,float
000096128,float
000079061,float
000075434,float
088671890,float
003653483,float
000074873,float
N770,float
000078488,float
000422560,float
002837890,float
N078,float
000062566,float
000106445,float
000541413,float
000624839,float
002164172,float
000051285,float
000075569,float
000116063,float
001912249,float
004170303,float
014484641,float
025321146,float
000542881,float
000606202,float
000067721,float
000079345,float
000095545,float
000128665,float
000314409,float
007783202,float
040487421,float
090982324,float
013194484,float
074051802,float
000064186,float
000078886,float
000092875,float
000106478,float
000142596,float
001319773,float
007782414,float
000137417,float
000138932,float
000139139,float
000080057,float
000076028,float
000101906,float
000117840,float
000134327,float
000584849,float
001336363,float
000068122,float
000095954,float
010294345,float
000132274,float
000053963,float
000104121,float
000110827,float
000594423,float
001910425,float
007440484,float
028407376,float
N458,float
000075650,float
000106467,float
000108601,float
000615054,float
007439976,float
000121448,float
000098828,float
000107028,float
000507551,float
000075445,float
000106514,float
001836755,float
004549400,float
136013791,float
035400432,float
000630206,float
000117793,float
000505602,float
016071866,float
000075058,float
000101688,float
000134292,float
001689992,float
042874033,float
000106887,float
000624180,float
000126998,float
007440473,float
000067561,float
000075343,float
000156105,float
007697372,float
000615281,float
000090948,float
000091598,float
000091941,float
000092671,float
000093652,float
000094586,float
000094746,float
000094757,float
000094826,float
000095487,float
000095501,float
000095807,float
000096093,float
000096457,float
000097234,float
000097563,float
000098873,float
000098884,float
000099558,float
000100425,float
000100754,float
000101053,float
000101611,float
000101804,float
000106423,float
000106934,float
000107062,float
000107119,float
000107197,float
000108383,float
000108452,float
000108781,float
000108907,float
000108930,float
000109864,float
000110805,float
000110861,float
000111422,float
000111444,float
000119937,float
000120127,float
000120581,float
000120809,float
000120821,float
000121755,float
000123319,float
000123911,float
000126987,float
000127184,float
000131522,float
000132649,float
000133062,float
000133073,float
000133904,float
000136458,float
000137428,float
000139651,float
000140885,float
000141322,float
000298000,float
000302012,float
000309002,float
000319846,float
000330552,float
000334883,float
000354234,float
000357573,float
000460355,float
000463581,float
000465736,float
000492808,float
000532274,float
000541537,float
000542756,float
000554132,float
000556616,float
000563473,float
000576261,float
000593602,float
000636215,float
000639587,float
000684935,float
000709988,float
000759944,float
000812044,float
000872504,float
000957517,float
000961115,float
000989388,float
001163195,float
001310732,float
001314201,float
001335871,float
001582098,float
001717006,float
001897456,float
001918021,float
001928434,float
001929733,float
001937377,float
001983104,float
002155706,float
002164070,float
002303164,float
002303175,float
002439012,float
002524030,float
002602462,float
002650182,float
002971382,float
003118976,float
003383968,float
003761533,float
006459945,float
007440020,float
007440360,float
007440393,float
007440417,float
007550450,float
007637072,float
007664393,float
007664939,float
007726956,float
007782492,float
029082744,float
000079947,float
N150,float
000051796,float
000060344,float
