COUNTYGEOID,000071432,N495,000079016
02013,0.0,0.0,0.0
02016,0.0,0.0,0.0
02020,9034.181089595202,0.0,0.0
02050,390.08943819999996,0.0,0.0
02060,0.0,0.0,0.0
02068,0.0,0.0,0.0
02070,0.0,0.0,0.0
02090,75139.01851423661,34371.15109589042,0.0
02100,0.0,0.0,0.0
02105,0.0,0.0,0.0
02110,491.24053671,0.0,0.0
02122,260334.03373077093,12.123287671232879,0.0
02130,585.1341573000002,0.0,0.0
02150,0.0,0.0,0.0
02158,0.0,0.0,0.0
02164,0.0,0.0,0.0
02170,0.0,0.0,0.0
02180,0.0,0.0,0.0
02185,0.0,0.0,0.0
02188,217.7243376,247975.12315068496,0.0
02195,0.0,0.0,0.0
02198,0.0,0.0,0.0
02220,0.0,0.0,0.0
02230,0.0,0.0,0.0
02240,0.0,0.0,0.0
02261,8419.490853465999,0.0,0.0
02275,0.0,0.0,0.0
02282,0.0,0.0,0.0
02290,0.0,0.0,0.0
01001,0.0,0.0,0.0
01003,0.0,0.0,0.0
01005,0.0,0.0,0.0
01007,0.0,0.0,0.0
01009,0.0,0.0,0.0
01011,0.0,0.0,0.0
01013,0.0,0.0,0.0
01015,87000.93979764881,26.696123287671234,689850.4918382001
01017,0.0,0.0,0.0
01019,0.0,30.478493150684933,0.0
01021,0.0,0.0,0.0
01023,0.0,0.0,0.0
01025,0.0,0.0,0.0
01027,65.31730128,0.0,0.0
01029,0.0,0.0,0.0
01031,0.0,0.0,0.0
01033,0.0,4739.013698630138,0.0
01035,0.0,0.0,0.0
01037,0.0,0.0,0.0
01039,0.0,0.0,0.0
01041,0.0,0.0,0.0
01043,121.56275516,42.57534246575343,236654.56156958
01045,54736.35206501,0.0,0.0
01047,0.0,0.0,0.0
01049,0.0,1.0173972602739725,0.0
01051,0.0,0.0410958904109589,0.0
01053,0.0,0.0,0.0
01055,287095.3938906901,1958.2330742465751,1298171.8375002302
01057,0.0,0.0,0.0
01059,62.14215469000001,0.0,70150.78157472001
01061,0.0,0.0,0.0
01063,0.0,10215.904109589042,0.0
01065,0.0,0.0,0.0
01067,0.0,0.0,0.0
01069,0.0,0.6027397260273972,49704.69726383701
01071,0.0,22357.69863013699,367364.00687063
01073,1771386.96654809,14610.089926027402,176610.13551311902
01075,0.0,0.0,35869.63102723
01077,0.0,0.0,36960.97426945
01079,0.0,0.0,0.0
01081,0.0,0.31506849315068497,533963.04126319
01083,0.0,0.0,0.0
01085,0.0,0.0,0.0
01087,0.0,0.0,0.0
01089,0.0,16.672739726027398,850477.52908734
01091,2.72155422,0.0,267.61949830000003
01093,0.0,0.0,3628.73896
01095,5527.47662082,10.412465753424657,0.0
01097,251681.3147524984,16676.973260273975,120852.42950858005
01099,0.0,265.2054794520548,0.0
01101,1563.662808244768,13.421446547945207,1367351.47781078
