COUNTYGEOID,000071432,N495,000079016
02013,0.0,0.0,0.0
02016,0.0,0.0,0.0
02020,9034.181089595202,0.0,0.0
02050,390.08943819999996,0.0,0.0
02060,0.0,0.0,0.0
02068,0.0,0.0,0.0
02070,0.0,0.0,0.0
02090,75139.01851423661,1138105.9076205513,0.0
02100,0.0,0.0,0.0
02105,0.0,0.0,0.0
02110,491.24053671,0.0,0.0
02122,260334.03373077093,401.42924745000005,0.0
02130,585.1341573000002,0.0,0.0
02150,0.0,0.0,0.0
02158,0.0,0.0,0.0
02164,0.0,0.0,0.0
02170,0.0,0.0,0.0
02180,0.0,0.0,0.0
02185,0.0,0.0,0.0
02188,217.7243376,8211012.538200158,0.0
02195,0.0,0.0,0.0
02198,0.0,0.0,0.0
02220,0.0,0.0,0.0
02230,0.0,0.0,0.0
02240,0.0,0.0,0.0
02261,8419.490853465999,0.0,0.0
02275,0.0,0.0,0.0
02282,0.0,0.0,0.0
02290,0.0,0.0,0.0
01001,0.0,0.0,0.0
01003,0.0,0.0,0.0
01005,0.0,0.0,0.0
01007,0.0,0.0,0.0
01009,0.0,0.0,0.0
01011,0.0,0.0,0.0
01013,0.0,0.0,0.0
01015,87000.93979764881,883.9685217262901,689850.4918382001
01017,0.0,0.0,0.0
01019,0.0,1009.2112717841001,0.0
01021,0.0,0.0,0.0
01023,0.0,0.0,0.0
01025,0.0,0.0,0.0
01027,65.31730128,0.0,0.0
01029,0.0,0.0,0.0
01031,0.0,0.0,0.0
01033,0.0,156919.37321676002,0.0
01035,0.0,0.0,0.0
01037,0.0,0.0,0.0
01039,0.0,0.0,0.0
01041,0.0,0.0,0.0
01043,121.56275516,1409.76508596,236654.56156958
01045,54736.35206501,0.0,0.0
01047,0.0,0.0,0.0
01049,0.0,33.688305319899996,0.0
01051,0.0,1.36077711,0.0
01053,0.0,0.0,0.0
01055,287095.3938906901,64841.48942467197,1298171.8375002302
01057,0.0,0.0,0.0
01059,62.14215469000001,0.0,70150.78157472001
01061,0.0,0.0,0.0
01063,0.0,338271.49944357004,0.0
01065,0.0,0.0,0.0
01067,0.0,0.0,0.0
01069,0.0,19.95806428,49704.69726383701
01071,0.0,740313.5501854401,367364.00687063
01073,1771386.96654809,483772.8480285723,176610.13551311902
01075,0.0,0.0,35869.63102723
01077,0.0,0.0,36960.97426945
01079,0.0,0.0,0.0
01081,0.0,10.432624510000002,533963.04126319
01083,0.0,0.0,0.0
01085,0.0,0.0,0.0
01087,0.0,0.0,0.0
01089,0.0,552.0718094507,850477.52908734
01091,2.72155422,0.0,267.61949830000003
01093,0.0,0.0,3628.73896
01095,5527.47662082,344.7800963607,0.0
01097,251681.3147524984,552211.9912654639,120852.42950858005
01099,0.0,8781.548283200002,0.0
01101,1563.662808244768,444.4141996412873,1367351.47781078
01103,888046.7707249598,14579.118295105984,76803.81591022907
