COUNTYGEOID,C01,C02,C03,C04
02013,-0.32543677429396195,-3.0624403089741554e-05,2.8024556940631124e-05,5.5735007126146885e-06
02016,-0.3254367742941228,-3.0624403142570315e-05,2.8024556851021916e-05,5.573500633051259e-06
02020,0.6761028442818968,-0.010753797173713974,-0.0065204861771670656,-0.00826520384357824
02050,-0.325436774293964,-3.0624403097102034e-05,2.8024556936769494e-05,5.5735007076974175e-06
02060,-0.32543677429396406,-3.0624403091842454e-05,2.802455694142576e-05,5.573500713673046e-06
02068,-0.325436774293964,-3.062440308983144e-05,2.8024556939950794e-05,5.573500714190323e-06
02070,-0.325436774293964,-3.062440308983144e-05,2.8024556940876262e-05,5.5735007085541574e-06
02090,0.6749788300039393,-0.008986900704715103,-0.004452118365212449,-0.0026007138371056254
02100,-0.325436774293964,-3.0624403089862714e-05,2.8024556939574823e-05,5.573500708096152e-06
02105,-0.3254367742939639,-3.062440308988536e-05,2.8024556939442418e-05,5.573500712126603e-06
02110,0.6812146709853659,0.7613905702554912,0.09910262041357601,0.005040033928083725
02122,0.6749788300039394,-0.008986900704715603,-0.004452118365212265,-0.002600713837112307
02130,0.6809600292985758,0.967348825867648,-0.08341606242674036,0.00024193576755169346
02150,-0.3254367742939639,-3.062440308997817e-05,2.802455693931138e-05,5.573500712126603e-06
02158,-0.3254367742939639,-3.062440308997951e-05,2.8024556939313066e-05,5.57350071130758e-06
02164,-0.3254367742939639,-3.0624403089988536e-05,2.802455693931185e-05,5.5735007113506875e-06
02170,-0.3254367742939639,-3.062440308997562e-05,2.8024556939314377e-05,5.573500711652432e-06
02180,-0.32543677429396395,-3.0624403089976386e-05,2.8024556939309596e-05,5.573500711630879e-06
02185,-0.32543677429396395,-3.0624403089977185e-05,2.80245569392931e-05,5.573500711867965e-06
02188,0.6749788300039391,-0.008986900704715571,-0.00445211836521226,-0.0026007138371061376
02195,-0.32543677429396395,-3.062440308997094e-05,2.8024556939292053e-05,5.573500711723153e-06
02198,-0.3254367742939639,-3.062440308996928e-05,2.80245569392943e-05,5.573500711708335e-06
