COUNTYGEOID,C01,C02,C03,C04
02013,-63205.76826398209,-14219.050478113886,-11692.234391566119,-1068.9572168629056
02016,-63205.768263983045,-14219.050478114294,-11692.234391569196,-1068.9572168576553
02020,-63192.01040512919,-14217.971675740495,-11536.640215268375,-1128.117175669615
02050,-63205.76826395998,-14219.050478113362,-11692.234391547441,-1068.957216869782
02060,-63205.768263967504,-14219.050478113688,-11692.234391573053,-1068.9572168604846
02068,-63205.768263955346,-14219.050478113659,-11692.234391574702,-1068.9572168599284
02070,-63205.7682639595,-14219.050478113664,-11692.234391573738,-1068.9572168602633
02090,-63172.768470244046,4228.684898793182,-8473.361115295322,-2420.7286955258623
02100,-63205.7682639823,-14219.05047811374,-11692.23439157305,-1068.957216860434
02105,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02110,-63205.40541859625,-14219.022026123745,-11688.13080035293,-1070.5174827606147
02122,-63114.57268383713,-14194.220410040414,-9249.910710128752,-1966.4086610026889
02130,-63205.47764374388,-14219.027689553033,-11688.94762893704,-1070.2069085056003
02150,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02158,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02164,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02170,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02180,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02185,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02188,-91105.81741951732,7652424.650316131,-105768.69124732503,-39840.5506764479
02195,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02198,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02220,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02230,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02240,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02261,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02275,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02282,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
02290,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01001,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01003,-63205.75390776233,-14219.050061935637,-11692.235842222082,-1068.9587574579177
01005,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01007,-63198.27690810183,-14218.240855804333,-11639.12153524478,-1089.1473173555592
01009,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01011,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01013,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01015,627958.9395086131,-11749.50453093729,-10366.931293775897,-4323.824058442091
01017,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01019,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01021,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01023,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01025,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01027,-63175.157962622456,-14214.15720790606,-11147.083687950242,-1271.8390815368366
01029,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01031,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01033,-49070.39546069943,-13110.645899494251,148171.4271173309,-61852.25807450417
01035,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01037,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01039,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01041,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01043,173270.90360328875,-13419.029617485832,-18177.05898126592,455.601410445508
01045,-63174.81789128322,-14139.82788272019,-8656.769905276402,7229.44492053377
01047,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01049,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01051,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01053,-63205.096322928686,-14219.030998948558,-11692.302289021964,-1069.0293243382805
01055,1233896.8575138843,-9849.636985162939,-49261.902492861336,8032.573938240084
01057,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01059,6900.166604850062,-13973.785432358616,-12926.847736397052,-865.2793177185187
01061,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01063,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01065,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01067,-63205.768263980746,-14219.050478113735,-11692.234391573096,-1068.9572168604232
01069,-13542.113251366332,-14051.76154232839,-13131.886883489151,-720.0283903142113
01071,303854.8981440751,-12982.629432653692,-22332.607174134173,1509.9517975587141
