component,eigenvalue
1,408.20999558199736
2,290.4284561511535
3,176.04717540669026
4,113.46368709884284
5,104.55490734280079
6,87.85631455260496
7,79.54413958876746
8,26.827091027935616
9,23.078837810563027
10,19.994982242333673
11,18.0130089836056
12,16.762715603339803
13,14.163504891406495
14,13.227427933633518
15,6.937995304996256
16,6.708810017970219
17,6.571136245557956
18,6.504078482386449
19,4.275763457002632
20,4.006021495301282
21,3.4837816366950114
22,3.161609856485733
23,1.7043914134365097
24,1.2011795877188765
25,0.3381472230727349
26,2.7915929803365677e-06
