COUNTYGEOID,C01,C02,C03,C04,C05
02013,-77791.05709862203,-8588.218826322298,-14476.225473016322,1981.4672671657006,550.0316114213749
02016,-77791.05709866331,-8588.21882637345,-14476.225472990496,1981.4672671734313,550.0316114207275
02020,-77791.05709865424,-8588.21882636317,-14476.225472994543,1981.4672671722171,550.0316114182062
02050,-77791.05709861786,-8588.218826349703,-14476.225472989803,1981.4672671741873,550.0316114944336
02060,-77791.05709874682,-8588.218826545108,-14476.2254729586,1981.4672671595374,550.0316114053597
02068,-77791.0570986572,-8588.218826341556,-14476.22547298893,1981.4672671768733,550.0316114878839
02070,-77791.057098702,-8588.218826325608,-14476.225472996168,1981.4672671624683,550.0316114481184
02090,-76694.45005100315,-7581.61910681388,-14545.405277624763,6533.138815308171,1587.7462071842053
02100,-77791.05709863272,-8588.218826301496,-14476.225473063112,1981.4672671969395,550.0316115081598
02105,-77791.05709863572,-8588.218826296103,-14476.225473013032,1981.4672671887379,550.0316114034737
02110,-77791.05709868729,-8588.218826421915,-14476.225472968996,1981.4672671883238,550.0316113996321
02122,-77377.94344995776,-7808.086836284499,-14613.646255429565,3860.792692382113,404.5259878525288
02130,78350.05311699746,201001.86966830536,944952.4008771952,-54995.2500454742,-46316.68144882355
02150,-77791.05709865005,-8588.218826362308,-14476.225472999544,1981.4672671764836,550.0316114161601
02158,-77791.05709878674,-8588.218826313157,-14476.225472987931,1981.4672671725646,550.0316114198507
02164,-77791.05709879674,-8588.218826664732,-14476.22547290912,1981.4672671304256,550.0316114804095
02170,-77791.05709865113,-8588.218826345304,-14476.22547300382,1981.4672671659796,550.0316114130902
02180,-77791.05709867235,-8588.218826322609,-14476.22547300557,1981.4672671630121,550.0316114110976
02185,-77791.05709861378,-8588.218826390723,-14476.22547299934,1981.467267173576,550.0316114182629
02188,-77791.05709862975,-8588.218826377908,-14476.22547299965,1981.4672671721817,550.0316114170926
02195,-77791.05709865654,-8588.218826370563,-14476.225472996719,1981.4672671741198,550.0316114180829
02198,-77791.05709866504,-8588.218826364387,-14476.225472996699,1981.467267173712,550.031611417849
02220,67375.30579881837,186270.33446622206,877516.6901315138,-50990.50667798888,-43022.54364769595
02230,-77791.05709866065,-8588.218826366978,-14476.22547299687,1981.467267173708,550.0316114178471
02240,-77791.0570986606,-8588.218826366914,-14476.225472996872,1981.4672671737483,550.0316114179001
02261,-77791.05709866062,-8588.218826366934,-14476.22547299687,1981.467267173744,550.0316114178734
02275,-77791.05709866062,-8588.218826366925,-14476.225472996872,1981.4672671737517,550.031611417873
02282,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
02290,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01001,211940.00968278214,513168.50249237963,-193780.93043538634,-195996.24682151084,-123869.71391126628
01003,-77682.48702067808,-8392.728842437215,-14543.399788452169,1907.27412315786,503.4090670643221
01005,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01007,-77775.6081783909,-8572.79545791753,-14474.494613373603,2036.2133703299764,545.0891600946499
01009,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01011,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01013,-77349.95229473528,-7793.851086671494,-14749.21252351635,1680.046822699644,360.6046104815659
01015,576345.6971520424,-250173.27065202149,-71754.41325168262,-28712.078616754425,-20021.941242065473
01017,246202.66329031854,574878.9233371479,-214986.60153045587,-219413.3811620825,-138585.06333502068
01019,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01021,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01023,147425.30892986493,315921.9547614124,1041954.523887312,-95617.02399357199,-73308.91559454697
01025,53420.731900246195,184661.6989074571,539213.2983176432,-57788.82714227779,-43661.53160118595
01027,-77746.03352278846,-8503.81125070746,-14487.090123485877,2256.4755894647674,535.5581722472903
01029,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01031,-77791.05695106761,-8588.21881904133,-14476.22550105872,1981.4672800628734,550.031571878593
01033,-53087.145953731706,8668.182076643207,10441.930323110155,19100.430327495364,63961.57052985414
01035,-75399.29756886131,-4280.996155757957,-15956.416515537165,347.1046074795594,-477.0799291025773
01037,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01039,-67453.11784385263,10028.956100493062,-20874.07805915895,-5082.763623956215,-3889.4684762356396
01041,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01043,128101.77777144646,-124794.0679700456,-22655.9490986191,4363.190683634812,1444.5553333614923
01045,-68967.32746805261,7429.139716482666,-19589.965656117038,-3710.7683421252464,4979.315376805777
01047,110229.11263397941,271830.5066998057,727296.3651394048,-86097.59122362302,-63790.043296126605
01049,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01051,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01053,67952.96244461548,210736.25057088712,531615.5023706376,-67653.65260091057,-49875.48189041673
01055,1087586.3344079182,-581708.4124690847,-75962.56159070041,-10691.417750989845,-9893.199423810434
01057,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01059,-16600.349811723878,-42768.72276100855,-16927.637117521677,3457.5615095605467,850.8126858087116
01061,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01063,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01065,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01067,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01069,-34555.498886473935,-33010.756280863534,-16192.139806422156,2432.1421252301807,740.6311121601732
01071,251566.8913919957,-171850.39042190553,-33058.700979816145,-675.0686431610834,-1660.6788579629301
01073,475097.40750384255,623913.4424420759,-265909.66105536453,-260017.90521393935,-141026.96696441073
01075,-46590.16710826693,-26213.37612182258,-15714.333226376095,2306.8664584463413,687.6915217824426
01077,-45640.90016779764,-26749.620221146808,-15752.017747292613,2316.79403873959,691.8891525687504
01079,158932.70510055745,345299.1485679894,907188.0245274111,-109489.90228137943,-80690.50497224292
01081,399285.75190222426,-248243.8577255546,-40713.65735144112,-1793.7536213182561,-2817.5527469993663
01083,-77791.05703132894,-8588.218823025,-14476.22548579864,1981.4672730537457,550.0315933801187
01085,216895.25549222846,522062.5692777926,-196793.36376235628,-199339.58500945874,-125896.81438101857
01087,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01089,662017.1970266738,-426430.32788347517,-43838.88605019414,9890.135053893178,3805.606341624878
01091,10708.024957329979,129606.2951130492,235165.59055814584,-44005.80525365002,-31533.296780945948
01093,-73983.09014755933,-10598.107469126924,-14748.141491083443,2322.6839061396036,570.5203811479255
01095,-75807.72946333131,-5133.647007909472,-15682.188833339853,689.2305643154018,-277.72516657816874
01097,751624.7691131104,915264.4888561063,3861624.9369592792,-247721.973179725,-142729.0200539058
01099,133546.97158604118,328620.21178741887,494249.58282930945,-112313.61518021087,-77970.2311096822
01101,1112059.0969931912,-679612.8157131744,-61963.627485321675,14063.464886740938,5595.352811996998
01103,-3420.480681540007,-33502.64586210512,-15381.92261644707,7108.348675622136,-44.42308787335565
01105,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01107,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01109,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01111,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
01113,153831.40795861202,408514.9224350715,-157817.69680171824,-156284.46666117563,-98914.02546151688
01115,-77791.05702895908,-8588.218822907376,-14476.225486249225,1981.4672732607025,550.0315927452493
01117,-62362.11035537434,11047.68962570301,75137.88777032516,-1836.9282239949532,-2703.283518881896
01119,-25733.166143677743,69355.7391363817,-40327.10002108116,-6711.62609176546,453.13486569454926
01121,148692.00512320947,337263.4680132109,747377.213728946,-107974.69624026705,-79260.65938545688
01123,-76148.56609447677,-5630.323435401118,-15492.715818934756,859.1027766486802,-155.31583032088756
01125,-20688.51835437884,-17738.536185117755,-18273.258674037468,66314.90283686991,-2184.4485356895666
01127,-77742.85707217919,-8579.388590238692,-14474.521573567763,2081.7866142963717,639.8390493652228
01129,-76912.37597565535,-6931.06323489247,-14829.649439688303,3914.595477200304,5219.150778094813
01131,-68888.33107382795,7444.339165613699,-19985.866033414484,-4102.038538150707,-3273.133940248038
01133,-77751.31603983136,-8602.055404116045,-14485.171163795301,2000.2718454428596,550.4318430414738
05001,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05003,136976.00020388333,329517.562390347,570329.9661027644,-110985.2285510426,-77960.11077998456
05005,-75361.6158288347,-9663.751621984791,-14826.591931794195,2640.618643570311,568.5016227981037
05007,-77733.11859978654,-8508.877498736334,-14488.825697125802,2036.557273069738,543.7580951392524
05009,-50127.36129100168,-24215.248217747292,-15573.98491348768,2270.0003020466734,672.0928435456311
05011,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05013,-74532.42219182751,-2719.8844450499896,-16492.898505831818,-245.2539816413782,-849.3480073749623
05015,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05017,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05019,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05021,-77791.05641349462,-8588.218792359488,-14476.22560326747,1981.4673270084982,550.0314278659808
05023,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05025,-77791.04882804013,-8588.220587072603,-14476.221204133944,1981.4593925882843,550.028923839814
05027,-71675.14029193361,1226.4373679137261,-2603.2596921661725,2090.452449229607,5687.5274427402655
05029,-49292.08791626048,42734.418178750435,-32113.416160373403,-17492.752649658138,-11688.498130171978
05031,44664.8011084231,-77762.68658475499,-19335.555963321112,3258.6842860582565,1090.348941194313
05033,-77790.10063187173,-8588.551837803449,-14476.440773152537,1981.9198458196938,550.0412439809484
05035,-77791.05660116595,-8588.21880167436,-14476.225567585516,1981.467310619379,550.0314781420221
05037,1109721.7535454168,-679405.9962303363,-61599.468843313545,14367.24932860112,5789.746234441162
05039,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05041,2218.148394128068,109332.22095019899,321936.0983034572,-34521.80216326881,-26432.08040037542
05043,-77791.05709169045,-8588.21882602099,-14476.225474322107,1981.4672677824449,550.0316095506117
05045,-77791.05557324967,-8588.218750654883,-14476.225763023218,1981.4674003861126,550.0312027693701
05047,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05049,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05051,-77655.85821090067,-8315.617130386507,-14480.220092835252,1965.0362494872272,2365.179758975697
05053,-77791.05687572724,-8588.218815301885,-14476.225515383194,1981.4672866422586,550.0315516953527
05055,-77787.8921538235,-8589.320664921166,-14476.93789201479,1982.9647560070196,550.063419165439
05057,157826.2866480158,-136122.4723273462,-25188.34234823397,2807.2049144107405,569.2217873185344
05059,-74163.69223076195,-2055.845655290411,-16721.096802535576,-497.2219818877752,-1007.6952623816188
05061,-77650.38084019771,-8316.794468776487,-14504.164280655601,2966.1481915024056,505.57039362088324
05063,348609.9622252167,-139551.01417978463,-56113.17508121904,-23667.668051060686,29744.71735339323
05065,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05067,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05069,189147.26731747127,373734.4571710399,198106.1134680234,-141788.79662675384,-93635.30497508672
05071,910508.3573890068,-566871.7259126471,-53694.22246149622,12289.449673394181,4910.748268619866
05073,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05075,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05077,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05079,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05081,129057.99535079842,299623.75860393414,805326.7048108951,-94705.30708869376,-70146.3426734898
05083,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05085,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05087,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05089,-77791.05677017127,-8588.21881006273,-14476.225535452546,1981.467295860342,550.0315234175323
05091,-77791.0559860639,-8588.218771144475,-14476.225684534855,1981.467364335524,550.0313133598518
05093,-75091.67347021087,-3726.9621369940837,-16146.651202658517,137.03513227862663,-605.8113200221168
05095,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05097,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05099,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05101,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05103,-39643.6881853289,31479.194040018414,-31075.115733848877,-15689.820577889228,-10581.376860421284
05105,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05107,-77787.9559231794,-8584.042994548,-14476.868219431424,1984.3834377451353,550.3193925606665
05109,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05111,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05113,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05115,-77791.05230920382,-8588.218588647671,-14476.226383616186,1981.4676854314398,550.0303283509387
05117,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05119,-29339.71515822474,-35080.12302684608,-16613.82163082399,2229.365801274903,602.8134546412267
05121,-31928.208210601308,-34495.8251113177,-16296.168946815811,2459.8176865983482,752.3942620085093
05123,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05125,-77600.34616210066,-8572.851933699252,-14498.20734329335,1954.863920578854,564.6080604401536
05127,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05129,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05131,-49805.57911597482,-22616.489359454135,-16043.706453296625,1834.8776116502877,354.1975575819493
05133,-77709.89600578099,-8435.900809585024,-14490.917642696291,2533.6919599973694,524.362599451314
05135,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05137,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05139,243133.09170503845,-39176.418132828374,-44483.856921798346,-27900.429464280194,131037.30648058653
05141,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05143,212561.44806150536,-172606.34105363252,-25998.081784714133,5009.849718590834,1831.1663290421434
05145,-51998.728342111004,-23158.12703742609,-15499.72448217631,2250.481765351703,663.8362297227636
05147,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
05149,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
60010,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
60020,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
60030,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
60040,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
60050,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
04001,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
04003,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
04005,-77599.0374058117,-8553.041060818958,-14469.437813519795,2381.1172749977886,907.8039692973341
04007,-58579.38215955816,-5068.643454418699,-13797.081407098147,41966.97822463654,36345.68217238133
04009,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
04011,-76079.20236090284,-6706.384177911669,-14625.816311986624,9961.333150434064,1782.4687167003556
04012,-77788.09922091039,-8589.47731736234,-14475.299463750574,1981.5045296355433,550.2441889181812
04013,262987.856510227,-77166.9378574962,-54798.766353054656,41821.11028052894,-18844.49546791123
04015,-48645.815373025434,-25052.163793855394,-15632.77593824726,2285.4527890220725,678.6301677101573
04017,-24548.81572737242,63215.17694777167,303269.55918253626,-17364.83232817798,-15172.90833320102
04019,69040.62741514476,-90492.82222475033,-20347.161974841492,5156.11977388131,1147.277106002901
04021,7572.974747266615,144787.3983988537,-67162.80126655546,-55747.0978802939,-35608.19452731861
04023,-15959.067244537033,-43516.68244766574,-16929.861239996717,2626.376142171225,822.8555999300974
04025,-77618.2971471143,-8556.569234509445,-14470.118306584285,2341.0348195845836,871.9220700105247
04027,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06001,-40064.04877592449,-11132.768847096011,-20546.677166291323,3348.643004999276,-2250.384045814382
06003,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06005,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06007,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06009,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06011,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06013,117672.74646054418,327176.542228639,59655.64649509916,941989.3399040174,-49490.72938986627
06015,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06017,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06019,-77791.05705390524,-8588.218824145551,-14476.225481506208,1981.4672710821808,550.0315994281808
06021,37126.085598157166,198361.3996860228,-85595.13317875065,-76544.9416976051,-48799.713627160054
06023,16427.758668641723,118915.35869454149,549233.4725291125,-33116.48792884115,-28021.4326536254
06025,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06027,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06029,708183.5417011651,1505463.4299630374,-172503.3186200508,5460421.146651857,-247303.1924766635
06031,-77745.35269610658,-8603.120321318083,-14484.229975900058,2001.2442014063738,549.7818162122345
06033,-77756.05719001812,-8520.689110814255,-14483.17657993077,2226.4534700347026,538.9697692987276
06035,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06037,220871.37705198597,273223.9960969333,-74886.07576631109,870732.1048351574,-59483.04301948423
06039,88198.47043833265,290335.58443505224,-117202.3601534999,-111444.26885125243,-70732.11742002789
06041,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06043,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06045,-76390.25927504932,-6065.578875474991,-15343.13887507009,1024.2591414541535,-51.52368402096689
06047,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06049,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06051,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06053,-77737.1726955061,-8491.180591557953,-14509.572977161979,1944.6464014644755,526.8916211117895
06055,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06057,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06059,-33093.35847051478,48840.368440067214,-36014.24354110553,-7588.799132528617,-12174.902257512185
06061,345035.1220357485,752862.2852865623,-276151.1614063292,-286948.63126107224,-181027.4398560676
06063,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06065,-73227.47959785683,-371.7518969912084,-17296.84016999461,-1078.2497785941441,-1408.3157973166349
06067,-51549.58424475071,26293.996306279427,-25710.474023319446,563.090810169685,-7689.0972818770515
06069,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06071,-73106.92190022554,353.66154086797366,-15669.316687494149,30881.107129115186,-940.9269624218625
06073,34613.89493071595,-35421.30118577118,-17311.43407776578,58540.31716091021,-3741.567066537675
06075,-77790.98614735912,-8588.123587582337,-14475.78950382991,1981.4413766683983,550.0103149490275
06077,-74163.48965699227,-5193.11369528565,-14967.0529320381,17274.380201615157,-133.44531491980374
06079,-77554.33917459274,-8161.9234416529025,-14622.72329618403,1819.710787635216,448.3760567917443
06081,-69165.91410781039,-10252.357139151007,-14817.145959182788,10634.323471567113,229.21088954324807
06083,-77788.89012880286,-8584.531217919073,-14476.499569513502,1984.7544715094118,550.0966500177734
06085,-68119.94784057779,8539.149418192912,-17003.808543923715,47868.3213173552,-2582.9005142288
06087,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06089,-19240.558257626748,80966.25484358557,183615.3361338788,-26995.781147436075,-20114.694631940816
06091,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06093,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06095,-54407.31852231079,36229.88689522235,-18707.14170905673,159290.68304887693,-6515.070763209564
06097,-73634.48495619188,-1102.816884714435,-17048.608145294435,-858.8459288599998,-1234.9568593600554
06099,-77664.21069841833,-8400.52107854677,-14502.081217699302,2705.887834137776,518.1092395684528
06101,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06103,-76785.1493536414,-6776.720391885359,-15098.752786152076,1294.0996463600848,118.05697486450137
06105,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
06107,-77791.05601828694,-8588.218772743801,-14476.225678408295,1981.4673615215233,550.0313219922044
06109,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
