components,explain,discrete
1,0.4015987660774954,0.4015987660774954
2,0.7461581701480036,0.3445594040705082
3,0.8299772049054781,0.08381903475747449
4,0.8741531659811251,0.04417596107564699
5,0.9150155176055792,0.040862351624454014
6,0.9406633873057484,0.025647869700169145
7,0.9655980875513475,0.02493470024559906
8,0.9839333190022789,0.018335231450931445
9,0.9886973377688355,0.004764018766556687
10,0.9921151713392954,0.0034178335704598464
11,0.9941668396159299,0.002051668276634497
12,0.9957163508163193,0.0015495112003894192
13,0.9969246158217349,0.0012082650054155587
14,0.9979648134107036,0.001040197588968808
15,0.9985514458163,0.0005866324055963221
16,0.9991128442332472,0.0005613984169472973
17,0.9995511306492461,0.00043828641599884076
18,0.9997934772326694,0.00024234658342340144
19,0.9998936539968442,0.00010017676417472682
20,0.9999890436919743,9.538969513009885e-05
21,0.9999949494330006,5.905741026284446e-06
22,0.9999975428041725,2.5933711718748615e-06
23,0.99999913585951,1.593055337444404e-06
24,0.999999931554643,7.956951329608652e-07
25,0.9999999999944141,6.843977120171127e-08
26,0.9999999999999962,5.582064511289133e-12
27,1.0000000000000002,3.953640534766183e-15
