component,eigenvalue
1,937.6780804631774
2,408.19460961269135
3,236.2332217117957
4,205.23952774306136
5,186.48604821049327
6,141.38260201804366
7,115.97489938399029
8,109.3879609847144
9,101.67183273355901
10,92.9974200407546
11,79.72130386482999
12,65.8978055466908
13,56.547594736082765
14,49.00547011622117
15,45.59685762899679
16,39.77125317324342
17,33.002444715948975
18,9.603638641571747
19,5.363203966577494
20,4.188626165529765
21,0.9976446902219438
22,0.4544891366651667
23,0.036249814197927846
24,2.9143298882535104e-06
