COUNTYGEOID,C01,C02,C03,C04
02013,-176078.84766392442,-79387.09258110906,-35410.29556612782,-69680.67594590258
02016,-176078.84766390035,-79387.0925811078,-35410.295566073415,-69680.67594591113
02020,-176077.73067364172,-79362.64671300976,-35402.5798193503,-69676.70771703578
02050,-176078.84766317488,-79387.09257990864,-35410.2955553715,-69680.67591554449
02060,-176078.84766388612,-79387.09258109768,-35410.295566126035,-69680.6759459129
02068,-176078.83927272575,-79386.89097230842,-35409.929351092724,-69680.62370712475
02070,-176078.84766393184,-79387.0925811071,-35410.29556612956,-69680.67594591949
02090,-174368.48511772798,-75781.41561560733,1317513.6801754937,-12114.008476294199
02100,-176078.84766391997,-79387.09258110476,-35410.29556612948,-69680.67594591396
02105,-176078.84766392005,-79387.09258110674,-35410.295566129564,-69680.67594592481
02110,-176078.8476583252,-79387.09257210177,-35410.29548590092,-69680.67571856533
02122,-172321.90821192745,-75682.62399540035,-35409.38426801258,-69685.42210380985
02130,-176078.8476598234,-79387.09257451302,-35410.295507390576,-69680.67577931371
02150,-176078.84766469285,-79387.0925824705,-35410.29554915719,-69680.67596048712
02158,-176078.84766392002,-79387.0925811068,-35410.295566129964,-69680.67594592225
02164,-176078.84766392002,-79387.09258110677,-35410.29556612968,-69680.6759459253
02170,-176078.84766392005,-79387.09258110682,-35410.295566129615,-69680.6759459312
02180,-176078.84766392005,-79387.09258110679,-35410.295566129666,-69680.67594594242
02185,-176078.84766392005,-79387.09258110677,-35410.29556612955,-69680.67594592128
02188,-176096.80550570498,-79399.44410824575,-30333.458671451037,-69441.17172491906
02195,-176078.84766392002,-79387.09258110679,-35410.295566129535,-69680.67594591778
02198,-176078.84766392005,-79387.09258110676,-35410.29556612963,-69680.67594593806
02220,-176078.84766392002,-79387.09258110679,-35410.295566129535,-69680.67594591784
02230,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
02240,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
02261,-176078.8476822718,-79387.09263302988,-35410.287102002694,-69680.67511931957
