components,explain,discrete
1,0.8439228361063498,0.8439228361063498
2,0.9565655398218946,0.11264270371554486
3,0.985543347362883,0.02897780754098829
4,0.9926652765224201,0.007121929159537094
5,0.9954364666287242,0.002771190106304156
6,0.997375057063923,0.0019385904351988874
7,0.9986641449814826,0.0012890879175595524
8,0.9992717368699868,0.0006075918885042342
9,0.9997493889233994,0.0004776520534125312
10,0.9999433433598004,0.00019395443640104882
11,0.9999808872789203,3.754391911990213e-05
12,0.9999932734176268,1.2386138706477295e-05
13,0.9999966973796631,3.4239620363955518e-06
14,0.9999984333897005,1.7360100374343552e-06
15,0.999999778601185,1.3452114845325489e-06
16,0.9999999457940387,1.6719285372245404e-07
17,0.9999999903039674,4.4509928609411065e-08
18,0.9999999999346689,9.630701564521816e-09
19,0.9999999999850322,5.0363253034030286e-11
20,0.9999999999938555,8.823259325794197e-12
21,0.9999999999978672,4.011669624537781e-12
22,0.9999999999990296,1.1623822142431008e-12
23,0.9999999999999372,9.076211476020763e-13
24,1.0,6.279481123182569e-14
