COUNTYGEOID,C01,C02,C03,C04
02013,0.7364159930174192,-0.009353844210232061,-0.008369394828764596,-0.0001301820689009172
02016,0.7383887480063821,-0.009558150848439022,-0.008404375019233093,-0.00024190056232336254
02020,-0.26172926657697265,-0.0022003468329103806,-0.0012331585286031541,-0.0015850241812938094
02050,-0.2621154528227786,-0.0025455190512588817,-0.0017207559858800339,-0.002502361125396701
02060,0.7383887892187382,-0.00955793206257376,-0.00840449275002014,-0.00024193050719311204
02068,-0.2617292665769727,-0.002200346832909401,-0.001233158528608802,-0.0015850241812944087
02070,0.7383887480064389,-0.009558150848419721,-0.008404375019251233,-0.00024190056231841278
02090,-0.2617292665769727,-0.0022003468329100297,-0.001233158528601244,-0.001585024181296934
02100,0.7383887480064389,-0.009558150848419763,-0.008404375019251219,-0.00024190056232043829
02105,0.7375100765915552,0.026996500849956206,-0.008308733440210285,-0.00019857834616615453
02110,-0.26172926657697276,-0.002200346832910015,-0.0012331585286018737,-0.0015850241812976375
02122,-0.2617292665360227,-0.0022003468004362396,-0.0012331584896824138,-0.0015850241158291945
02130,-0.26172926657697276,-0.002200346832910018,-0.0012331585286019019,-0.0015850241812983533
02150,0.5539004129564833,0.4746880724590168,-0.00930178368174192,0.0003779447427463801
02158,0.7383887480064389,-0.009558150848419574,-0.008404375019251143,-0.00024190056232018705
02164,0.7383887480064389,-0.009558150848419544,-0.00840437501925112,-0.0002419005623167704
02170,0.7383887480064389,-0.009558150848419537,-0.008404375019251143,-0.00024190056231742358
02180,0.7383887480064389,-0.009558150848419562,-0.00840437501925112,-0.00024190056231737335
02185,0.7383887480064389,-0.009558150848419546,-0.008404375019251124,-0.0002419005623177753
02188,-0.2617292665769727,-0.0022003468329097717,-0.00123315852860193,-0.0015850241812949335
02195,0.7383887480064389,-0.009558150848419584,-0.008404375019251084,-0.00024190056231773133
02198,0.7383887480064389,-0.009558150848419582,-0.008404375019251094,-0.00024190056231774193
02220,-0.26172926657697276,-0.002200346832909792,-0.0012331585286019275,-0.001585024181294802
02230,0.7383887480064389,-0.009558150848419586,-0.008404375019251103,-0.0002419005623177309
02240,0.7383887480064389,-0.009558150848419574,-0.008404375019251132,-0.00024190056231777118
02261,-0.26172926657695345,-0.0022003468328940846,-0.0012331585285829216,-0.0015850241812631147
02275,0.7383887480064389,-0.009558150848419584,-0.008404375019251136,-0.00024190056231772485
02282,0.7383887480064389,-0.009558150848419596,-0.008404375019251113,-0.0002419005623177266
02290,-0.2617292665769728,-0.0022003468329097908,-0.0012331585286019056,-0.0015850241812947947
01001,-0.2617292665769728,-0.0022003468329097834,-0.0012331585286019379,-0.0015850241812948114
01003,-0.2617292665769728,-0.0022003468329097786,-0.0012331585286019457,-0.0015850241812948138
01005,-0.2617292665769728,-0.002200346832909778,-0.0012331585286019548,-0.00158502418129484
01007,-0.2617292665769728,-0.002200346832909786,-0.0012331585286019307,-0.0015850241812948277
01009,-0.2617292665769728,-0.0022003468329097843,-0.0012331585286019494,-0.0015850241812948194
01011,0.7378303064718077,-0.009451644530813647,-0.008388635142950735,-0.00018089260950315098
01013,-0.26172926657441337,-0.0022003468308803,-0.0012331585261695008,-0.0015850241772034353
01015,-0.2617292665769728,-0.002200346832909771,-0.001233158528601922,-0.0015850241812948296
01017,-0.26172926641317873,-0.0022003467030140777,-0.0012331583729231557,-0.001585023919441247
01019,-0.2617292665769728,-0.002200346832909778,-0.0012331585286018845,-0.0015850241812947938
01021,-0.2617292665769728,-0.002200346832909781,-0.0012331585286018912,-0.0015850241812948003
01023,-0.2617292665769728,-0.002200346832909781,-0.0012331585286018912,-0.0015850241812948042
01025,-0.2617292665769728,-0.0022003468329097812,-0.0012331585286018847,-0.0015850241812947956
01027,-0.26172926657697265,-0.0022003468329096377,-0.0012331585286017154,-0.0015850241812945631
01029,-0.2617292665769728,-0.002200346832909779,-0.0012331585286018867,-0.0015850241812948172
01031,-0.2617292665718551,-0.0022003468288506324,-0.001233158523736937,-0.001585024173112074
01033,-0.2617292665769728,-0.002200346832909779,-0.0012331585286018871,-0.0015850241812948053
01035,-0.2617292665769728,-0.002200346832909781,-0.001233158528601873,-0.0015850241812947962
01037,-0.2617292665769728,-0.0022003468329097734,-0.001233158528601878,-0.001585024181294813
01039,-0.2617292665769728,-0.0022003468329097734,-0.0012331585286018776,-0.0015850241812947938
01041,0.7383887480064389,-0.009558150848419484,-0.00840437501925111,-0.0002419005623176679
01043,-0.2617292665565013,-0.002200346816672721,-0.0012331585091419428,-0.0015850241485631715
01045,-0.2617292665769729,-0.0022003468329097847,-0.0012331585286018934,-0.0015850241812948346
01047,-0.2617292662493807,-0.0022003465731184847,-0.0012331582172446219,-0.0015850236575876708
01049,-0.2617292665768142,-0.002200346832782982,-0.0012331585284497042,-0.0015850241810392597
01051,-0.2617292665769729,-0.00220034683290979,-0.0012331585286018962,-0.0015850241812948493
01053,-0.2617292659217877,-0.002200346313327512,-0.0012331579058878982,-0.001585023133881105
01055,-0.2617292665769729,-0.002200346832909794,-0.0012331585286019023,-0.001585024181294844
01057,-0.2617292665769729,-0.0022003468329097934,-0.0012331585286019043,-0.0015850241812948264
01059,-0.2617292665769729,-0.00220034683290979,-0.0012331585286019138,-0.001585024181294812
01061,-0.2617292665769729,-0.002200346832909794,-0.0012331585286019177,-0.0015850241812948116
01063,-0.2617292665769729,-0.0022003468329097977,-0.0012331585286019036,-0.0015850241812948077
01065,-0.20853577272646986,-0.0013297514557395137,-0.0027753682572419364,-0.0020791541058260967
01067,-0.2617292665769729,-0.0022003468329097977,-0.0012331585286018902,-0.0015850241812947969
01069,-0.2617292665769729,-0.002200346832909816,-0.0012331585286019025,-0.001585024181294792
01071,-0.2617292665769729,-0.002200346832909816,-0.0012331585286019036,-0.0015850241812947823
01073,-0.261729256094153,-0.0022003385197134234,-0.0012331485653638325,-0.0015850074230279196
01075,-0.2617292665769729,-0.002200346832909822,-0.0012331585286018952,-0.0015850241812947943
