COUNTYGEOID,C01,C02,C03,C04
02013,-721457.2744426128,-219231.94730119026,-234326.9063857458,-173366.41882707406
02016,-721457.2744426664,-219231.94730435344,-234326.90639315805,-173366.41882734696
02020,1002304.1138352719,-218647.08805068707,-234668.34016642248,-173106.92690504383
02050,-721457.2884613959,-219230.13063334237,-234313.82520010445,-173366.2375920972
02060,-721457.2744425472,-219231.94730433472,-234326.90639286966,-173366.4188273548
02068,-714412.9150029108,-218439.79636836454,-233219.61661315922,-171574.60883690204
02070,-721457.274442597,-219231.9473043872,-234326.90639350607,-173366.41882736317
02090,30687087.003519088,-201170.2595771076,-31178.407590726987,-162509.73197696218
02100,-721457.2744426408,-219231.94730431793,-234326.906393481,-173366.41882734798
02105,-721457.2744422049,-219231.94730293093,-234326.9063942113,-173366.41882754615
02110,-721457.3026261836,-219229.41724143675,-234303.1045015339,-173366.1162468032
02122,-721473.8094519683,-217803.75866696212,-221364.06138242883,-169428.47451446374
02130,-721500.9402115663,-217979.48699386197,-230975.9611071699,-160745.34311516077
02150,-721457.2744287783,-219231.94724462603,-234326.90562211574,-173366.4188544024
02158,-721457.2744427471,-219231.9473024848,-234326.90639277577,-173366.41882680389
02164,-721457.2744424111,-219231.947304531,-234326.90639397205,-173366.4188267083
02170,-721457.2744425986,-219231.94730438286,-234326.9063935121,-173366.41882735255
02180,-721457.2744426208,-219231.94730381342,-234326.90639347545,-173366.4188273573
02185,-721457.274442556,-219231.94730439357,-234326.90639361736,-173366.4188273517
02188,-695060.6426170672,-214626.36068321313,-233043.11038187487,-173657.897277961
02195,-721457.2744426082,-219231.9473044231,-234326.90639409347,-173366.41882733465
02198,-721457.2744425416,-219231.9473043527,-234326.9063935053,-173366.41882735142
02220,-721515.0841266838,-163880.40924137103,-232453.71352911103,-161568.36438256284
02230,-721457.2744425975,-219231.9473043845,-234326.90639350837,-173366.4188273525
02240,-721457.2744426033,-219231.947304384,-234326.90639351512,-173366.41882735188
02261,-721457.57262707,-219192.73683669875,-234044.56913012502,-173362.507100772
02275,-721457.2744425747,-219231.94730357628,-234326.90639371442,-173366.4188273525
02282,-721457.2744426099,-219231.94730441325,-234326.90639500445,-173366.4188273053
02290,-721456.7956580506,-219231.95298064567,-234326.93120670013,-173366.44303618427
01001,-692302.9175828295,-208066.6377938741,-197644.04080441757,-163831.00317700097
01003,-721300.3803053191,-219215.03764886636,-234253.45829764236,-173356.30606400123
01005,-721513.370326862,-123079.59859557853,-236212.15585034734,-170921.30901903205
01007,-721445.2968389574,-219161.94052347526,-234324.70862937786,-173372.84931277492
01009,-721457.8931459594,-219198.16190950098,-234301.7109118896,-173354.88767561046
01011,-721457.274442571,-219231.94730265538,-234326.90638905807,-173366.4188272057
01013,-721459.7216419942,-219085.43189385315,-233984.27486967313,-173296.15045342068
01015,-721557.8967531871,-207392.90622049768,-209561.6426274843,-172511.2690663941
01017,-721458.7029759282,-216405.96891736067,-219895.2697725199,-172863.12085431826
01019,-721459.5595844152,-218887.22422231262,-234289.0932783397,-172846.93887184147
