field,type
COUNTYGEOID,str
007782505,float
N495,float
000080626,float
000108316,float
000085449,float
000107211,float
000098953,float
000107131,float
000091203,float
000117817,float
N010,float
N050,float
N096,float
000050000,float
000075092,float
000078875,float
000077474,float
000108054,float
000075070,float
000074839,float
000106898,float
007647010,float
000079107,float
000624839,float
000075569,float
000584849,float
000121448,float
000107028,float
000075445,float
000101688,float
000106887,float
000126998,float
007440473,float
000096093,float
000106934,float
000111422,float
000123911,float
000532274,float
000542756,float
007550450,float
000123386,float
