component,eigenvalue
1,325.871797132721
2,172.14045136365925
3,159.39559742771135
4,147.16545945835577
5,131.6368458056944
6,117.86878818304938
7,93.87372240276011
8,89.69399374080365
9,86.79983291546449
10,83.96655855082093
11,80.50621660950448
12,71.0156835642371
13,66.30654859026077
14,62.07988965707274
15,61.52673807334927
16,56.4525364338516
17,50.95289014945467
18,35.469706470960205
19,30.37634972103241
20,26.168101827690634
21,19.854313549713883
22,17.864739702744117
23,17.22946368001894
24,13.288416845761107
25,10.283668167629436
26,9.201179021945476
27,7.07645087843803
28,6.968154010195021
29,5.246867817891668
30,4.4956925818225955
31,3.8560079465961694
32,3.467705343719757
33,2.610790252338229
34,2.3515783157121155
35,2.0517826187805963
36,1.0692017502436983
37,1.0641081241263002
38,1.0008442133747926
39,0.9917214988690187
40,0.000862097836104306
