COUNTYGEOID,C01,C02,C03,C04
02013,-0.08126137000484565,-0.01036624137520893,-0.016517745981884373,-0.03214977079437006
02016,-0.08126137000481236,-0.01036624137520736,-0.01651774598188183,-0.03214977079436406
02020,-0.13782209033268703,-0.08095249807865372,-0.11050704553059634,-0.11277289263114554
02050,-0.16740023676809615,-0.14128916816026268,-0.1990198044462551,-0.48683572857623214
02060,-0.16740023676809765,-0.14128916816024412,-0.19901980444623585,-0.48683572857620255
02068,-0.15057272827256413,-0.12786729667600968,-0.16765153542690883,-0.31548082779479236
02070,-0.08126137000484523,-0.010366241375207997,-0.016517745981883058,-0.032149770794379216
02090,-0.16438882725665682,-0.1777882213677397,0.6387278456076122,0.1840914588845358
02100,-0.08126137000484526,-0.010366241375209454,-0.01651774598188446,-0.032149770794365075
02105,-0.08126137000484525,-0.010366241375209454,-0.0165177459818778,-0.03214977079437282
02110,-0.16740023676809707,-0.14128916816026704,-0.19901980444625197,-0.48683572857623214
02122,-0.16102047998814353,-0.11420685992744278,-0.14567567458827108,-0.21940134619595908
02130,-0.15567145334208216,-0.12619001679931136,-0.15665995276512926,-0.27153659038564326
02150,-0.08126137000484526,-0.010366241375208815,-0.01651774598188411,-0.032149770794369786
02158,-0.08126137000484526,-0.01036624137520884,-0.01651774598188415,-0.032149770794369786
02164,-0.08126137000484523,-0.010366241375208808,-0.016517745981884217,-0.0321497707943697
02170,-0.08126137000484523,-0.010366241375208817,-0.016517745981884182,-0.03214977079436976
02180,-0.08126137000484525,-0.010366241375208815,-0.01651774598188418,-0.03214977079436976
02185,-0.08126137000484525,-0.010366241375208815,-0.01651774598188418,-0.03214977079436976
02188,-0.1530228202575031,-0.16372022096506725,0.8590882475648914,0.14200455093157158
02195,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975
02198,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975
02220,-0.1506316855422178,-0.12788966246801908,-0.16758774669315402,-0.31504390147480194
02230,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436976
02240,-0.08126137000484525,-0.010366241375208817,-0.016517745981884175,-0.03214977079436975
02261,-0.16740023676809707,-0.14128916816026502,-0.1990198044462579,-0.4868357285762251
02275,-0.08126137000484525,-0.010366241375208815,-0.01651774598188418,-0.03214977079436976
02282,-0.08126137000484525,-0.010366241375208815,-0.016517745981884185,-0.03214977079436975
02290,-0.08126137000484525,-0.010366241375208817,-0.016517745981884185,-0.03214977079436975
01001,0.8920755653829368,-0.017780564821855378,-0.022695242082067944,0.01824124946199635
01003,-0.16456917174815083,0.8647935333859749,-0.07067835198591356,0.18039524391912903
01005,-0.10977493646931064,-0.030899166458875922,-0.04135415137051062,-0.07399301028323872
01007,-0.16740023676809707,-0.14128916816026496,-0.1990198044462578,-0.4868357285762251
01009,-0.15039653213082027,-0.1276425276719934,-0.16739932920243483,-0.31503202750989445
01011,-0.08126137000484521,-0.010366241375208817,-0.016517745981884175,-0.03214977079436975
01013,-0.1382336907493926,-0.07957173975331466,-0.10825743370196886,-0.10598255515310401
01015,-0.11046194670963555,0.01296505514640007,-0.03501063128238743,-0.05616206058248179
01017,0.8756387408956076,-0.02088609191711371,-0.026488157795848132,0.010802719159829215
01019,-0.14913158680181762,-0.16070409416131262,0.8662719017551379,0.13034033034199957
01021,-0.1097640672634917,-0.03088767903681581,-0.04134530598060993,-0.07399206460815405
01023,0.8901303748698396,-0.0205871780112316,-0.02631246879628103,0.011104811773759299
01025,0.8916818362781147,-0.019364552552536326,-0.02474701759366333,0.014156413619997393
01027,-0.14187601205878128,-0.031128110467572568,-0.0868464547746521,-0.2051581083433761
01029,-0.1503965321308203,-0.12764252767199347,-0.16739932920243486,-0.3150320275098946
01031,-0.19348826853362663,-0.3568825494519953,-0.3725052967605804,0.7458217522244777
01033,-0.055170622619785406,-0.15408608366005133,0.8027185427187145,0.10425786202006221
01035,-0.085273768611453,0.015078666460566383,-0.017030612131063168,-0.034630380693885195
01037,-0.16740023676809707,-0.14128916816026504,-0.19901980444625772,-0.4868357285762254
01039,-0.11081456317562595,-0.03166626465672284,-0.04039235498440363,-0.07454886445624684
01041,-0.08126137000484518,-0.010366241375208814,-0.016517745981884175,-0.03214977079436974
01043,0.5207879820614165,0.645378792965575,-0.04835467383674548,0.17269667494836724
01045,-0.17028428659911146,-0.14503439047987704,-0.1924583442855322,-0.4861094205082812
01047,0.8894101460265472,-0.02148884960120281,-0.027498116934567336,0.00872662099534054
01049,-0.08168392714747638,-0.010638683461711266,-0.016999628954334864,-0.03241187373704727
01051,-0.15706188691287568,0.8877763252516876,-0.05172193819217185,0.1946452280510049
01053,0.8917964980212488,-0.01791050112625379,-0.02307710950296766,0.017003401907682444
01055,-0.18808674191936922,-0.1898706721662126,-0.15405924591758766,-0.19704162671040085
01057,-0.21017204367346487,-0.3613109111636846,-0.39299472190034235,0.4489669553674253
01059,-0.11459544361234027,-0.039140428729985195,-0.051956225659151575,-0.09386997485686892
01061,-0.1097640672634917,-0.03088767903681589,-0.04134530598060994,-0.07399206460815408
01063,-0.14718132294498237,-0.15944686672243966,0.8577557104497939,0.13309241919822515
01065,-0.1097640672634917,-0.030887679036815902,-0.04134530598060992,-0.07399206460815409
01067,-0.08126137000484517,-0.010366241375208808,-0.016517745981884165,-0.03214977079436974
01069,-0.1551659212924113,-0.10480372986485827,0.06339091503868226,-0.18043842710420618
01071,0.8660634704114465,-0.043219099856669885,0.12588492015487915,0.04492349472630515
01073,-0.15673336523908996,-0.15798107562117542,0.8123224612632497,0.07750328516386079
01075,-0.19020181247013432,-0.35628619367647585,-0.3701640794880449,0.7506789179043943
01077,-0.1556369180188344,-0.1602816987936719,0.848916624672764,0.11186317652300821
01079,0.8918814337326285,-0.018085387902904728,-0.02310422026126578,0.01704571717724784
01081,-0.18114548532406047,-0.1623854956516519,-0.1790184496237975,-0.39797430551592233
01083,-0.17775404835924266,-0.17226194358116423,-0.2303727810674701,-0.416746159710605
01085,-0.08880594996942257,0.005457382401692176,-0.01846928108836383,-0.049478013924512024
01087,-0.08126137000484517,-0.010366241375208807,-0.016517745981884165,-0.03214977079436973
01089,-0.14389616013174025,-0.15560117027890794,0.8408226259118665,0.11963554166516299
01091,0.8895779295598278,-0.020456849329399455,-0.02656600470611477,0.011399118298937765
01093,-0.13086334634266597,0.13238689694585173,-0.030700602955940882,-0.06403809538124793
01095,-0.09158195491573291,0.008588186208569878,-0.01850187364904329,-0.054105477826872826
01097,0.09429519942522856,0.5948359454120514,0.1699914129344335,0.1675434015814709
01099,0.8915000307188093,-0.018746689308117712,-0.023865271533828263,0.015563521628961982
01101,-0.20170910624091679,-0.21543741198440938,-0.2548796555926603,-0.3465861936094618
01103,0.1814121981384154,0.006081321596794355,0.14168087288557443,0.005355444586289414
01105,-0.08856970267864842,0.0057448982899696655,-0.018229135154792027,-0.049299108074213595
01107,0.8920186669265034,-0.017780747786024374,-0.022692607563257486,0.017957788882307223
01109,-0.15039653213082022,-0.1276425276719935,-0.16739932920243486,-0.31503202750989456
01111,-0.19844926044693667,-0.2478196643537814,-0.30522047950151443,-0.20393720153699413
01113,0.892087955318597,-0.016892305686314942,-0.022767011451745235,0.017106228730231137
01115,-0.1112230578520539,0.2732735593041548,-0.02639520513699699,0.007198319201643134
01117,-0.14649740071851486,-0.158483561630164,0.85566200267158,0.12996568202542544
01119,-0.14905671898889913,-0.10822350701373369,0.5427176036348125,0.04446387081881927
01121,0.867478213823847,-0.014174141857758555,-0.026850813144744873,0.002250605052829547
01123,-0.11086465951846859,-0.027239442018618713,-0.06470957791075532,-0.16377404489410793
01125,-0.1514201130710004,-0.08255604911927975,-0.11951199677786462,-0.3418792628169533
01127,-0.14471766919187146,-0.15674615873977843,0.8511884034959663,0.12882440741590329
01129,-0.08551325070581356,-0.0076582876986833115,-0.0008770201195479829,-0.03575764302592003
01131,0.8919654008976999,-0.017922011457941096,-0.022876668598692772,0.017657640832958964
01133,-0.12350717882409905,0.009776629045419013,-0.03997627236694751,-0.13205540172439195
05001,-0.08527455457963282,0.015076181226311467,-0.017033156443724114,-0.03462481161924363
05003,0.8917101642908133,-0.018129918738394105,-0.02325696283881759,0.016866784852452264
05005,-0.1233499869402022,0.14224164590990493,-0.02574226159771741,-0.05404284740117623
05007,-0.11545782995771602,-0.002364268953823867,-0.007393456304327149,-0.02871710374734037
05009,-0.13391700890270636,-0.0813125102190833,-0.08238306325861386,-0.0052968393851330125
05011,-0.08126137000484515,-0.010366241375208802,-0.01651774598188416,-0.03214977079436972
05013,0.17580074672767168,0.006244732660363932,-0.03145802347986038,-0.027856138964565003
05015,-0.08126137000484515,-0.010366241375208802,-0.016517745981884158,-0.032149770794369724
05017,-0.08126137000484515,-0.010366241375208802,-0.016517745981884158,-0.032149770794369724
05019,0.889667359179592,0.011512817828857587,-0.022588830790464434,0.026296976061046758
05021,-0.14495740097053883,-0.0874635163795155,-0.08641834515177717,-0.0908795506124111
05023,-0.19071603252365169,-0.32628223309190924,-0.335508472317404,0.6457605411110315
05025,-0.19020181247013426,-0.3562861936764759,-0.37016407948804514,0.7506789179043944
