COUNTYGEOID,C01,C02,C03,C04,C05
02013,-49249.8542098646,-33997.77440697179,-10768.837637982926,-40211.76354012839,33023.006892032805
02016,-49249.854209586316,-33997.774407045334,-10768.837638008757,-40211.7635401504,33023.00689200634
02020,-49249.745202225946,-33997.78437877706,-10768.17406074818,-40205.542496068614,33025.70505348059
02050,-49249.85411267212,-33997.774416919434,-10768.837456711548,-40211.762374596816,33023.007462561625
02060,-49249.854208952376,-33997.774407086465,-10768.837636483588,-40211.76353026094,33023.00689684984
02068,-49249.71324851652,-33997.50521452135,-10769.022676904351,-40211.409547068906,33023.25744876264
02070,-49249.85420919437,-33997.774407075274,-10768.837638434865,-40211.76354010506,33023.00689201281
02090,-33495.26288693131,117310.6907438167,-7996.627253321112,-38611.175884182136,25296.760736195738
02100,-49249.85420977952,-33997.77440700651,-10768.837638033865,-40211.76354014717,33023.00689201447
02105,-49249.85420977604,-33997.774407020894,-10768.837638027635,-40211.76354014752,33023.0068920158
02110,-49249.85408799865,-33997.774419446934,-10768.837410630498,-40211.76207826705,33023.0076076195
02122,-49249.77084944142,-33997.57339163352,-10768.57017709052,-40209.505308361455,33023.9646755763
02130,-49249.723325141116,-33997.52483851713,-10769.009501308008,-40211.43176199174,33023.229251624034
02150,-49249.85420977412,-33997.774407002384,-10768.837638025669,-40211.763540147884,33023.00689201091
02158,-49249.85420977336,-33997.77440700608,-10768.837638017676,-40211.76354012298,33023.00689202781
02164,-49249.85420977483,-33997.77440700548,-10768.837638028846,-40211.76354015765,33023.006892005535
02170,-49249.854209774625,-33997.77440700568,-10768.837638026544,-40211.76354014376,33023.006892015845
02180,-49249.85420977394,-33997.77440700577,-10768.837638023293,-40211.76354012268,33023.00689202935
02185,-49249.85420977471,-33997.77440700568,-10768.837638028093,-40211.76354015488,33023.00689200488
02188,-36067.47238385314,116945.33941778626,-10.241068844331368,-30600.08815263442,-12491.920057863694
02195,-49249.85420977476,-33997.774407005665,-10768.837638028352,-40211.76354015537,33023.00689200791
02198,-49249.854209777186,-33997.774407005294,-10768.837638047738,-40211.76354015515,33023.00689201122
02220,-49249.76567925109,-33997.60521783239,-10768.95404952632,-40211.54179055501,33023.16394625001
