components,explain,discrete
1,0.4838509948078286,0.4838509948078286
2,0.859563213603412,0.3757122187955834
3,0.9175771410242571,0.058013927420845095
4,0.9524789346651472,0.034901793640890084
5,0.9686018941395755,0.01612295947442829
6,0.9755229104278018,0.006921016288226283
7,0.9814728865607059,0.005949976132904024
8,0.9861058898351542,0.004633003274448348
9,0.9898440895707382,0.0037381997355839377
10,0.9932265054227117,0.003382415851973522
11,0.9956549864048458,0.0024284809821340553
12,0.9967923059080107,0.0011373195031648532
13,0.9975581704917784,0.0007658645837677309
14,0.998192155960391,0.0006339854686125616
15,0.9986184548227535,0.0004262988623624281
16,0.9989742605691156,0.00035580574636216516
17,0.9992912407941902,0.000316980225074536
18,0.9995573505459372,0.00026610975174703533
19,0.9996632308031075,0.00010588025717033362
20,0.999761453376966,9.82225738584666e-05
21,0.999845138114103,8.368473713700648e-05
22,0.9999046622350536,5.952412095057575e-05
23,0.9999593858454673,5.4723610413714364e-05
24,0.9999785459042171,1.9160058749788955e-05
25,0.9999853067622675,6.7608580503761496e-06
26,0.9999883499684512,3.043206183740624e-06
27,0.9999912072885889,2.857320137720535e-06
28,0.9999932474870471,2.040198458142234e-06
29,0.9999948914680709,1.6439810238030827e-06
30,0.9999962000879052,1.3086198343730424e-06
31,0.9999972205982903,1.0205103850634672e-06
32,0.9999981645036513,9.439053610274453e-07
33,0.9999989353468205,7.708431692234857e-07
34,0.9999993993459136,4.639990931692129e-07
35,0.9999997904974026,3.911514889557595e-07
36,0.9999999098144692,1.1931706653865666e-07
37,0.9999999626096949,5.279522578395598e-08
38,0.9999999845148247,2.1905129793302754e-08
39,0.9999999927244432,8.209618431845773e-09
40,0.9999999999999996,7.2755564247390664e-09
41,0.9999999999999999,3.5618136517183037e-16
